,1. open,2. high,3. low,4. close
2012-02-03,76.65,76.78,76.01,76.6
2012-02-10,76.59,77.81,76.46,77.59
2012-02-17,77.49,79.61,77.35,79.57
2012-02-24,79.59,81.21,79.35,81.2
2012-03-02,81.25,81.87,80.01,81.79
2012-03-09,81.76,82.64,80.57,82.46
2012-03-16,82.51,84.18,81.95,83.43
2012-03-23,83.37,84.09,81.96,82.33
2012-03-30,82.44,83.38,81.82,82.84
2012-04-06,82.96,83.3,81.31,81.62
2012-04-13,81.54,81.86,80.56,80.91
2012-04-20,80.91,81.78,80.29,81.49
2012-04-27,81.57,81.7,80.17,80.24
2012-05-04,80.32,80.61,79.62,79.83
2012-05-11,79.76,80.08,79.42,79.91
2012-05-18,79.92,80.55,78.93,79.01
2012-05-25,79.2,80.15,79.06,79.67
2012-06-01,79.65,79.69,77.64,77.95
2012-06-08,78.1,79.79,77.94,79.47
2012-06-15,79.48,79.74,78.59,78.69
2012-06-22,78.92,80.57,78.76,80.41
2012-06-29,80.47,80.62,79.12,79.78
2012-07-06,79.91,80.09,79.29,79.65
2012-07-13,79.66,79.95,79.07,79.25
2012-07-20,79.22,79.23,78.41,78.48
2012-07-27,78.45,78.68,77.93,78.46
2012-08-03,78.48,78.77,77.9,78.45
2012-08-10,78.6,78.79,78.12,78.27
2012-08-17,78.29,79.57,78.14,79.5
2012-08-24,79.55,79.66,78.31,78.63
2012-08-31,78.66,78.84,78.19,78.37
2012-09-07,78.33,79.03,77.99,78.18
2012-09-14,78.22,78.39,77.12,78.23
2012-09-21,78.35,79.22,78.0,78.11
2012-09-28,78.12,78.16,77.4,77.96
2012-10-05,77.92,78.87,77.76,78.65
2012-10-12,78.64,78.76,77.92,78.39
2012-10-19,78.42,79.46,78.31,79.33
2012-10-26,79.27,80.38,79.19,79.58
2012-11-02,79.61,80.67,79.26,80.44
2012-11-09,80.43,80.56,79.06,79.46
2012-11-16,79.48,81.46,79.19,81.31
2012-11-23,81.36,82.84,81.06,82.38
2012-11-30,82.33,82.75,81.66,82.45
2012-12-07,82.35,82.83,81.68,82.49
2012-12-14,82.51,83.96,82.09,83.5
2012-12-21,84.32,84.61,83.59,84.22
2012-12-28,84.36,86.64,84.29,85.97
2013-01-04,85.8,88.41,85.64,88.14
2013-01-11,88.07,89.45,86.81,89.17
2013-01-18,89.28,90.2,87.78,90.08
2013-01-25,90.09,91.19,88.03,90.82
2013-02-01,91.02,92.96,90.3,92.83
2013-02-08,92.76,94.05,91.97,92.69
2013-02-15,92.72,94.46,92.2,93.49
2013-02-22,93.67,94.21,92.76,93.39
2013-03-01,94.5,94.61,90.88,93.57
2013-03-08,93.62,96.54,92.89,96.01
2013-03-15,95.97,96.71,95.07,95.29
2013-03-22,94.93,96.13,94.18,94.45
2013-03-29,94.5,94.96,93.52,94.2
2013-04-05,94.26,97.82,92.54,97.51
2013-04-12,98.26,99.94,98.06,98.35
2013-04-19,98.34,99.68,95.93,99.51
2013-04-26,99.81,99.88,97.54,98.04
2013-05-03,97.94,99.26,96.99,99.0
2013-05-10,99.13,101.98,98.56,101.59
2013-05-17,101.77,103.3,101.25,103.13
2013-05-24,102.59,103.73,100.66,101.12
2013-05-31,101.23,102.52,100.22,100.47
2013-06-07,100.56,100.9,94.99,97.55
2013-06-14,97.76,99.28,93.78,94.06
2013-06-21,94.18,98.28,94.15,97.8
2013-06-28,97.97,99.45,96.96,99.12
2013-07-05,99.22,101.22,99.17,101.17
2013-07-12,101.28,101.37,98.29,99.21
2013-07-19,99.29,100.86,98.92,100.35
2013-07-26,100.39,100.62,97.95,98.2
2013-08-02,98.29,99.85,97.59,98.9
2013-08-09,98.97,99.13,95.82,96.18
2013-08-16,96.29,98.59,95.94,97.53
2013-08-23,97.61,99.13,96.9,98.71
2013-08-30,98.61,98.83,96.85,98.17
2013-09-06,98.34,100.21,98.27,99.08
2013-09-13,99.77,100.59,99.04,99.36
2013-09-20,98.82,99.65,97.79,99.3
2013-09-27,99.27,99.35,98.08,98.24
2013-10-04,97.78,98.69,96.93,97.43
2013-10-11,97.29,98.58,96.59,98.58
2013-10-18,98.23,99.0,97.55,97.72
2013-10-25,97.94,98.47,96.96,97.4
2013-11-01,97.69,98.83,97.46,98.69
2013-11-08,98.8,99.4,97.67,99.05
2013-11-15,99.18,100.42,98.92,100.17
2013-11-22,100.25,101.35,99.56,101.27
2013-11-29,101.29,102.58,101.14,102.39
2013-12-06,102.5,103.37,101.64,102.9
2013-12-13,103.0,103.91,102.23,103.21
2013-12-20,103.28,104.63,102.5,104.07
2013-12-27,103.98,105.17,103.77,105.16
2014-01-03,105.18,105.43,104.07,104.81
2014-01-10,104.81,105.1,103.85,104.15
2014-01-17,103.97,104.91,102.85,104.3
2014-01-24,104.19,104.81,102.02,102.27
2014-01-31,102.23,103.42,101.77,102.05
2014-02-07,101.99,102.55,100.78,102.36
2014-02-14,102.53,102.69,101.59,101.77
2014-02-21,101.62,102.8,101.38,102.49
2014-02-28,102.44,102.67,101.57,101.77
2014-03-07,101.47,103.73,101.19,103.28
2014-03-14,103.13,103.4,101.21,101.35
2014-03-21,101.39,102.65,101.27,102.27
2014-03-28,102.23,102.97,101.73,102.8
2014-04-04,102.89,104.11,102.78,103.31
2014-04-11,103.34,103.38,101.34,101.59
2014-04-18,101.6,102.55,101.42,102.42
2014-04-25,102.43,102.72,101.95,102.18
2014-05-02,102.11,102.99,102.04,102.16
2014-05-09,102.23,102.24,101.42,101.86
2014-05-16,101.83,102.36,101.34,101.52
2014-05-23,101.51,102.0,100.84,101.95
2014-05-30,101.96,102.13,101.43,101.77
2014-06-06,101.8,102.79,101.75,102.5
2014-06-13,102.56,102.64,101.6,102.04
2014-06-20,101.98,102.3,101.72,102.06
2014-06-27,102.07,102.16,101.32,101.36
2014-07-04,101.43,102.25,101.23,102.07
2014-07-11,102.07,102.2,101.06,101.24
2014-07-18,101.34,101.79,101.11,101.32
2014-07-25,101.35,101.93,101.19,101.82
2014-08-01,101.78,103.0,101.74,102.57
2014-08-08,102.61,102.92,101.52,102.0
2014-08-15,102.1,102.71,102.02,102.36
2014-08-22,102.37,104.18,102.24,103.92
2014-08-29,104.2,104.26,103.57,104.07
2014-09-05,104.16,105.68,104.1,105.06
2014-09-12,105.13,107.39,105.0,107.32
2014-09-19,107.27,109.4,106.8,109.01
2014-09-26,109.01,109.47,108.28,109.27
2014-10-03,109.32,110.06,108.05,109.76
2014-10-10,109.71,109.85,107.52,107.63
2014-10-17,107.47,107.55,105.31,106.87
2014-10-24,107.02,108.34,106.25,108.1
2014-10-31,108.23,112.46,107.6,112.3
2014-11-07,112.71,115.48,112.58,114.53
2014-11-14,114.492,116.825,113.83,116.264
2014-11-21,116.591,118.977,115.43,117.83
2014-11-28,118.384,118.773,117.2,118.63
2014-12-05,118.834,121.688,117.84,121.41
2014-12-12,121.831,121.841,117.42,118.8
2014-12-19,118.219,119.623,115.55,119.49
2015-01-02,119.523,120.826,118.84,120.49
2015-01-09,120.528,120.646,118.03,118.52
2015-01-16,118.306,119.32,115.83,117.62
2015-01-23,117.427,118.867,116.9,117.78
2015-01-30,117.636,118.66,117.24,117.45
2015-02-06,117.117,119.221,116.85,119.123
2015-02-13,119.053,120.482,118.3,118.73
2015-02-20,118.633,119.418,118.21,119.017
2015-02-27,119.065,119.838,118.59,119.56
2015-03-06,119.691,121.282,119.35,120.798
2015-03-13,120.694,122.023,120.58,121.33
